10,100
2,6
14,7
36,8
14,8
6,15
10,17
6,13
17,3
12,13
22,11
11,18
18,38
7,6
9,10
9,8
12,3
18,6
33,16
2,1
7,16
14,20
9,26
8,1
11,34
13,14
18,8
7,9
9,30
24,27
45,12
24,8
9,7
11,37
9,15
3,47
21,10
7,4
23,8
15,10
26,6
17,13
10,10
10,45
11,28
11,12
10,13
0,0
10,8
2,54
21,9
8,17
5,6
12,6
11,61
15,6
22,11
3,23
14,5
8,7
0,0
6,10
8,3
7,8
3,19
17,36
7,3
7,7
11,10
12,45
9,6
3,16
7,4
3,35
9,2
2,57
24,6
17,4
0,0
10,4
2,23
30,18
5,19
23,7
10,6
10,7
50,2
11,22
7,4
8,24
11,5
14,2
8,6
9,3
5,13
18,3
12,9
17,22
10,8
33,23
