12,4
13,10
8,33
3,3
15,3
2,7
12,15
8,7
21,38
14,13
10,23
1,9
1,2
6,16
16,10
6,6
16,10
13,14
1,3
13,5
34,2
9,37
7,16
12,10
11,7
44,5
1,36
9,15
60,8
22,39
3,4
26,17
12,20
4,3
7,5
5,13
10,6
54,20
2,8
7,17
16,38
9,14
8,5
38,1
24,3
10,8
12,14
0,0
1,8
10,11
8,18
10,44
18,5
6,6
17,7
12,10
6,11
9,12
1,12
11,11
25,4
3,7
7,42
3,30
36,10
26,8
4,14
19,20
10,6
6,12
15,15
7,5
12,6
18,12
11,16
5,12
11,18
14,24
12,4
54,8
12,13
12,4
7,21
13,2
7,5
9,9
6,25
14,13
19,4
6,3
6,52
2,19
21,20
9,18
4,5
9,3
16,7
7,21
6,15
38,4
