19,34
11,10
3,11
2,9
21,20
6,18
12,33
3,34
18,17
3,12
12,16
8,4
8,18
9,6
33,12
6,9
3,21
9,21
6,10
2,33
21,1
2,12
21,24
8,24
13,18
6,7
5,3
3,16
11,9
9,9
3,39
6,18
10,2
4,19
1,18
15,5
7,7
17,30
15,24
4,58
7,24
9,23
9,19
18,15
6,27
12,12
3,18
15,3
6,21
3,8
1,21
3,8
28,9
12,22
5,11
1,12
3,14
4,5
4,12
12,28
6,19
4,27
21,33
3,20
35,11
15,23
4,18
18,12
4,18
11,15
10,11
20,19
27,10
8,6
3,29
4,6
9,51
3,16
0,0
2,3
9,9
3,3
12,4
9,5
5,7
10,23
3,35
10,16
5,11
16,12
6,17
16,6
8,27
5,15
5,6
6,3
9,12
23,22
6,13
10,7
