100,100
100,100
100,19
100,66
93,7
45,57
81,80
19,100
2,48
24,39
100,74
25,39
100,100
100,78
100,100
82,74
50,100
19,48
100,100
100,100
100,100
100,29
100,33
76,100
47,100
89,100
61,61
84,100
100,77
17,48
75,93
100,47
67,81
100,40
100,86
51,18
6,74
90,100
9,12
100,100
100,43
60,12
41,96
11,100
36,44
43,100
15,100
100,35
46,82
52,63
100,100
69,100
49,14
100,40
62,76
100,91
31,30
100,67
62,62
80,95
100,59
88,100
100,24
68,69
42,26
85,100
100,65
100,100
2,100
29,63
29,27
91,28
7,24
28,100
100,24
100,100
100,100
100,100
73,100
100,59
100,20
18,100
53,100
76,54
100,20
100,48
100,52
10,14
85,100
42,19
100,76
35,74
45,25
17,100
100,30
100,100
44,82
29,25
28,88
41,28
